epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4749,0.444,0.4356,0.4115,0.3953,0.3894,0.3801,0.3709,0.3671,0.3611,0.40298999999999996,0.0012829109000000003,0.412,0.4068,0.4169,0.4128,0.4111,0.4158,0.4186,0.4243,0.4319,0.4382,0.41884,8.763839999999996e-05
500,0.001,NDCG@10,0.469,0.4499,0.4395,0.4137,0.3965,0.384,0.3729,0.3684,0.3635,0.3581,0.40155,0.0014064005,0.4061,0.4159,0.4226,0.4173,0.418,0.4196,0.4225,0.4295,0.4361,0.4421,0.42297,9.841409999999991e-05
500,0.001,P@5,0.469,0.4454,0.4297,0.4071,0.3947,0.385,0.3759,0.3721,0.3651,0.3587,0.40027,0.0012289940999999998,0.4081,0.409,0.4113,0.4114,0.4105,0.4135,0.4164,0.4236,0.4299,0.4363,0.417,8.443800000000013e-05
500,0.001,P@10,0.4661,0.4469,0.4258,0.4115,0.3959,0.3884,0.3738,0.3684,0.3628,0.3578,0.39974,0.0012367084000000001,0.4071,0.4098,0.4094,0.4133,0.411,0.4159,0.4168,0.424,0.4301,0.4359,0.4173299999999999,8.352809999999998e-05
500,0.001,ERR@10,0.4631,0.4513,0.4336,0.41,0.3947,0.3859,0.3751,0.3691,0.3651,0.3593,0.40072,0.0012513296,0.3982,0.4167,0.417,0.4143,0.4124,0.4166,0.4188,0.4245,0.4317,0.4374,0.41875999999999997,0.00010429039999999997
500,1e-05,NDCG@5,0.4543,0.4248,0.4081,0.399,0.3847,0.3756,0.3704,0.3639,0.3573,0.3525,0.38905999999999996,0.0009521663999999999,0.3874,0.3827,0.3852,0.3919,0.3925,0.3962,0.4034,0.4089,0.4135,0.4197,0.39814000000000005,0.00014399039999999996
500,1e-05,NDCG@10,0.472,0.4336,0.4208,0.399,0.3947,0.3859,0.3746,0.3739,0.3681,0.3649,0.39875000000000005,0.0010533864999999994,0.4031,0.3926,0.4004,0.3986,0.4026,0.4067,0.4097,0.4197,0.4274,0.4339,0.40947000000000006,0.00016034810000000005
500,1e-05,P@5,0.4218,0.3953,0.4031,0.3909,0.3764,0.3648,0.3527,0.3532,0.3494,0.3457,0.37533000000000005,0.0006236041,0.3687,0.3631,0.3783,0.3839,0.3849,0.3871,0.3896,0.3977,0.4049,0.413,0.38712,0.0002113335999999998
500,1e-05,P@10,0.4543,0.4454,0.4149,0.3953,0.3799,0.3786,0.3704,0.3636,0.3582,0.3555,0.39161,0.0011340408999999999,0.3894,0.4044,0.4001,0.3987,0.3974,0.4064,0.4129,0.4185,0.4236,0.4307,0.40820999999999996,0.00015152089999999997
500,1e-05,ERR@10,0.4572,0.4277,0.4179,0.4041,0.3929,0.3864,0.378,0.3709,0.3655,0.3631,0.39637,0.0008362621000000001,0.3982,0.3918,0.3995,0.4035,0.4054,0.4097,0.4146,0.4211,0.427,0.4335,0.41043,0.00016280009999999993
1000,0.001,NDCG@5,0.472,0.4499,0.4297,0.4063,0.3959,0.3879,0.3746,0.3658,0.3635,0.3578,0.40034000000000003,0.0013685744,0.4051,0.4137,0.4126,0.4108,0.4121,0.4158,0.416,0.4211,0.4297,0.4358,0.41727,7.675610000000004e-05
1000,0.001,NDCG@10,0.4749,0.441,0.4307,0.41,0.3953,0.3879,0.3755,0.3695,0.3668,0.3605,0.40120999999999996,0.0012680349,0.4081,0.4036,0.4111,0.411,0.4092,0.4147,0.4149,0.421,0.4305,0.4363,0.41604,9.616439999999998e-05
1000,0.001,P@5,0.4661,0.4528,0.4376,0.4122,0.3994,0.3899,0.3784,0.3709,0.3661,0.3575,0.40309,0.0012995368999999999,0.4031,0.414,0.4187,0.4147,0.4134,0.4175,0.4202,0.4262,0.4321,0.4369,0.41967999999999994,8.706760000000001e-05
1000,0.001,P@10,0.4808,0.4366,0.4248,0.4063,0.3982,0.3874,0.3772,0.3717,0.3671,0.3605,0.40106,0.0012637084000000005,0.4179,0.3995,0.4084,0.4071,0.4093,0.412,0.4153,0.4217,0.4282,0.4342,0.41536,9.826839999999993e-05
1000,0.001,ERR@10,0.4808,0.441,0.4336,0.4137,0.3941,0.3854,0.378,0.3757,0.3681,0.3634,0.40338,0.0013091676000000002,0.4159,0.4027,0.4135,0.4139,0.4096,0.4132,0.4176,0.4263,0.4318,0.439,0.41834999999999994,0.00010684250000000004
1000,1e-05,NDCG@5,0.4838,0.4425,0.4179,0.4004,0.3894,0.3786,0.37,0.3665,0.3655,0.3608,0.39754000000000006,0.0014408204000000001,0.4189,0.4046,0.4015,0.4009,0.4022,0.4064,0.4103,0.4194,0.4273,0.4332,0.41247000000000006,0.00012022009999999991
1000,1e-05,NDCG@10,0.4454,0.4292,0.4149,0.3953,0.3811,0.3746,0.3675,0.361,0.3546,0.351,0.38746,0.0009627164000000005,0.3786,0.3941,0.3981,0.3983,0.3982,0.4044,0.4111,0.4167,0.4219,0.4277,0.40491,0.00019297890000000018
1000,1e-05,P@5,0.4749,0.4572,0.4307,0.4056,0.3941,0.38,0.3742,0.3669,0.3632,0.3578,0.40046,0.0015184723999999996,0.4159,0.4206,0.4148,0.413,0.413,0.4137,0.4209,0.4256,0.4331,0.44,0.42106000000000005,7.744440000000001e-05
1000,1e-05,P@10,0.4631,0.4218,0.4149,0.4004,0.3959,0.3859,0.3755,0.368,0.3645,0.3549,0.39449000000000006,0.0009509549000000003,0.4022,0.3859,0.3941,0.3974,0.4033,0.4058,0.4092,0.414,0.421,0.4254,0.40583,0.00013166609999999988
1000,1e-05,ERR@10,0.4661,0.4366,0.414,0.4004,0.39,0.382,0.3734,0.3691,0.3596,0.3519,0.39431000000000005,0.0011613309000000002,0.411,0.4056,0.404,0.4054,0.4064,0.412,0.4167,0.4241,0.4273,0.432,0.41445,9.234449999999998e-05
1500,0.001,NDCG@5,0.4631,0.4543,0.4287,0.4071,0.3935,0.3864,0.3763,0.3673,0.3615,0.3555,0.39937,0.0013120921000000002,0.4061,0.4169,0.4125,0.4113,0.4106,0.4162,0.4198,0.4225,0.4288,0.4341,0.41788,6.751559999999993e-05
1500,0.001,NDCG@10,0.4749,0.4484,0.4346,0.4108,0.3959,0.3864,0.3763,0.3706,0.3661,0.3617,0.40257,0.0013444241,0.414,0.411,0.4168,0.4138,0.411,0.4148,0.4176,0.4237,0.4309,0.4388,0.41924,7.59644000000002e-05
1500,0.001,P@5,0.469,0.444,0.4287,0.4108,0.3971,0.3923,0.3805,0.3739,0.3664,0.3611,0.40237999999999996,0.0011352016,0.4081,0.4071,0.4095,0.41,0.4095,0.416,0.4182,0.4244,0.4283,0.4351,0.41662,8.497760000000004e-05
1500,0.001,P@10,0.4661,0.441,0.4376,0.4078,0.3923,0.385,0.3755,0.3691,0.3658,0.3605,0.40007000000000004,0.0012094001000000003,0.4071,0.4061,0.417,0.4122,0.4106,0.4164,0.421,0.4257,0.4317,0.439,0.41868,0.00010447359999999984
1500,0.001,ERR@10,0.4602,0.4513,0.4307,0.4122,0.3965,0.3874,0.3784,0.3691,0.3632,0.3593,0.40083,0.0011943280999999997,0.3972,0.4137,0.4136,0.4138,0.4126,0.4175,0.4207,0.4244,0.4297,0.4371,0.41803,0.0001067481
1500,1e-05,NDCG@5,0.469,0.444,0.4228,0.3968,0.3847,0.3722,0.3675,0.3603,0.3559,0.3546,0.39278,0.0014351035999999996,0.4041,0.4066,0.4091,0.4022,0.4032,0.4051,0.411,0.4166,0.4228,0.43,0.41106999999999994,7.752209999999996e-05
1500,1e-05,NDCG@10,0.4602,0.4351,0.4238,0.3938,0.3882,0.3795,0.3725,0.3665,0.3605,0.3563,0.39364,0.0010964364,0.3953,0.3992,0.404,0.3974,0.4037,0.4072,0.4131,0.4184,0.4255,0.431,0.40947999999999996,0.00013337360000000004
1500,1e-05,P@5,0.4661,0.4336,0.4277,0.41,0.3882,0.3781,0.3751,0.3713,0.3641,0.3599,0.39741,0.0011257749000000005,0.4031,0.4004,0.4083,0.4116,0.4062,0.4081,0.4182,0.4262,0.4303,0.4367,0.41491,0.0001376849
1500,1e-05,P@10,0.4661,0.4351,0.4149,0.3968,0.3912,0.3795,0.3708,0.3643,0.3592,0.3555,0.39334,0.0011659624000000001,0.4012,0.3987,0.4009,0.4019,0.4059,0.4068,0.4122,0.4176,0.4255,0.4316,0.41023,0.00011494810000000003
1500,1e-05,ERR@10,0.4631,0.4336,0.4179,0.399,0.3947,0.3815,0.3751,0.3687,0.3655,0.3617,0.39608,0.0009905495999999998,0.4041,0.3982,0.4042,0.4036,0.4078,0.4098,0.4156,0.4208,0.4276,0.4354,0.41271,0.00012830089999999996
2000,0.001,NDCG@5,0.4808,0.4425,0.4326,0.4122,0.3953,0.3884,0.3776,0.3676,0.3641,0.3581,0.40192000000000005,0.0014262216000000005,0.414,0.4044,0.4135,0.4134,0.4121,0.4157,0.4182,0.422,0.4303,0.4359,0.41795,7.701850000000013e-05
