epochs,learning_rate,momemtum,activation,inner_act,number_layers,number_neurons,dropout,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,0.3,sigmoid,,,,,0.4661,0.441,0.4248,0.413,0.4112,0.4036,0.3965,0.3901,0.3874,0.3811,0.41147999999999996,0.0006280976,0.4031,0.3815,0.382,0.3819,0.3876,0.3933,0.398,0.4027,0.4102,0.4148,0.39551,0.0001334889
500,0.001,0.3,linear,,,,,0.4631,0.4395,0.4395,0.4314,0.4289,0.4154,0.4071,0.3997,0.3936,0.3879,0.42061000000000004,0.0005150589,0.3805,0.3818,0.3904,0.3961,0.4033,0.4059,0.4085,0.413,0.4177,0.4241,0.40213,0.0001954540999999999
500,0.001,0.5,sigmoid,,,,,0.4631,0.4528,0.4415,0.4196,0.4147,0.4076,0.4016,0.3949,0.3891,0.3853,0.41701999999999995,0.0006616376000000001,0.3963,0.3933,0.3928,0.3892,0.3947,0.4012,0.4045,0.4094,0.4146,0.4213,0.40173000000000003,0.00010021210000000019
500,0.001,0.5,linear,,,,,0.4631,0.4425,0.4395,0.4344,0.4277,0.4159,0.4046,0.4001,0.3956,0.3885,0.42119,0.0005234189,0.3825,0.3862,0.3926,0.3988,0.4042,0.4077,0.4086,0.4144,0.4198,0.4253,0.40401,0.0001782469000000001
500,0.075,0.3,sigmoid,,,,,0.472,0.4425,0.4454,0.4292,0.4206,0.411,0.4054,0.4027,0.394,0.3917,0.42145,0.0005989724999999999,0.3953,0.3886,0.4019,0.4021,0.4032,0.4081,0.4122,0.4193,0.4227,0.4294,0.40828,0.00014513160000000013
500,0.075,0.3,linear,,,,,0.4572,0.4454,0.4366,0.4196,0.4159,0.41,0.3995,0.3953,0.3877,0.382,0.41491999999999996,0.0005681096000000001,0.3923,0.3945,0.397,0.3962,0.402,0.4066,0.4092,0.4134,0.417,0.4214,0.40496,9.25683999999999e-05
500,0.075,0.5,sigmoid,,,,,0.472,0.4425,0.4425,0.4285,0.4212,0.4115,0.4041,0.4015,0.395,0.3917,0.42105,0.0005872364999999996,0.3953,0.3896,0.3995,0.4021,0.4043,0.4082,0.4119,0.4185,0.4232,0.4295,0.4082100000000001,0.00014389489999999997
500,0.075,0.5,linear,,,,,0.4543,0.4277,0.4189,0.413,0.4088,0.3958,0.3936,0.3883,0.3809,0.3726,0.40539,0.0005339969,0.3953,0.3798,0.3822,0.3875,0.3923,0.3931,0.3995,0.4047,0.4087,0.4098,0.39529000000000003,9.82349e-05
1000,0.001,0.3,sigmoid,,,,,0.469,0.4454,0.4336,0.4255,0.4177,0.4076,0.397,0.3953,0.392,0.3876,0.41707,0.0006307420999999996,0.3982,0.3877,0.3924,0.3948,0.3979,0.4025,0.4037,0.4097,0.4162,0.4237,0.40268,0.00011100760000000017
1000,0.001,0.3,linear,,,,,0.4631,0.4425,0.4356,0.4285,0.423,0.4145,0.405,0.3971,0.3907,0.3855,0.41855000000000003,0.0005495844999999999,0.3845,0.3852,0.392,0.3976,0.4017,0.4076,0.4104,0.4132,0.4172,0.4229,0.40323000000000003,0.00015880210000000002
1000,0.001,0.5,sigmoid,,,,,0.4661,0.4454,0.4366,0.424,0.4212,0.4095,0.3957,0.3945,0.3907,0.3858,0.41694999999999993,0.0006349465000000003,0.3972,0.3879,0.3918,0.395,0.4004,0.4038,0.4031,0.41,0.4161,0.4214,0.40267,0.00010165809999999999
1000,0.001,0.5,linear,,,,,0.4631,0.4425,0.4385,0.4322,0.4254,0.4154,0.4029,0.3968,0.3913,0.387,0.41951,0.0005646209000000003,0.3845,0.3852,0.3943,0.4001,0.4041,0.4088,0.4095,0.4137,0.4187,0.4248,0.40436999999999995,0.0001637741000000001
1000,0.075,0.3,sigmoid,,,,,0.469,0.441,0.4415,0.4292,0.4195,0.4105,0.4041,0.4019,0.3946,0.3906,0.42019,0.0005568969,0.3982,0.3889,0.399,0.4024,0.4033,0.4079,0.4115,0.419,0.4239,0.4293,0.40834000000000004,0.00014339039999999994
1000,0.075,0.3,linear,,,,,0.4572,0.4425,0.4356,0.4211,0.4159,0.4105,0.3995,0.3956,0.3881,0.3826,0.41486,0.0005409503999999999,0.3923,0.3923,0.3961,0.3966,0.4014,0.4074,0.4088,0.4134,0.4169,0.4214,0.40465999999999996,9.854840000000002e-05
1000,0.075,0.5,sigmoid,,,,,0.4661,0.4425,0.4415,0.4292,0.4183,0.4115,0.405,0.4023,0.3963,0.392,0.42047000000000007,0.0005135261000000001,0.3953,0.3904,0.3982,0.4028,0.4022,0.4084,0.4125,0.419,0.4248,0.4296,0.40831999999999996,0.00015169559999999986
1000,0.075,0.5,linear,,,,,0.4513,0.4277,0.4208,0.4115,0.41,0.3948,0.3932,0.3875,0.3812,0.3726,0.40506000000000003,0.0005141564,0.3923,0.3798,0.3833,0.3864,0.3931,0.3927,0.4,0.4049,0.4087,0.4096,0.39508000000000004,9.81876e-05
300,0.0025,0.5,linear,relu,1,100,0.65,0.4454,0.4292,0.4317,0.4226,0.4165,0.413,0.4075,0.3997,0.3943,0.3912,0.41511,0.00027538490000000024,0.3668,0.3717,0.384,0.3901,0.393,0.4012,0.4068,0.4122,0.4167,0.424,0.39665,0.00032453250000000005
300,0.0025,0.5,linear,relu,1,100,0.8,0.4425,0.4292,0.4385,0.427,0.4142,0.4095,0.4029,0.3979,0.3891,0.3891,0.41398999999999997,0.0003455269000000002,0.3638,0.3663,0.3826,0.3873,0.3915,0.3987,0.4041,0.4083,0.4117,0.4203,0.39346000000000003,0.00031910839999999994
300,0.0025,0.5,linear,relu,2,100,0.65,0.4602,0.4381,0.4395,0.4285,0.4124,0.4051,0.4071,0.3997,0.3953,0.3885,0.4174399999999999,0.0004791223999999998,0.3776,0.3768,0.388,0.3918,0.3926,0.3998,0.4081,0.4142,0.4197,0.4231,0.39917,0.00024881009999999995
300,0.0025,0.5,linear,relu,2,100,0.8,0.4395,0.4322,0.4326,0.4167,0.4212,0.4125,0.4071,0.3993,0.3927,0.3885,0.41423,0.00027559409999999986,0.3668,0.3692,0.3796,0.3791,0.3904,0.3958,0.4008,0.4053,0.4084,0.4134,0.39087999999999995,0.00024607559999999994
400,0.0025,0.5,linear,relu,1,100,0.65,0.4602,0.4292,0.4376,0.4263,0.4177,0.4135,0.405,0.4019,0.3946,0.3932,0.41791999999999996,0.0003970416,0.3795,0.37,0.3868,0.3918,0.3962,0.4043,0.4079,0.414,0.4182,0.4256,0.39943,0.0002836420999999999
400,0.0025,0.5,linear,relu,1,100,0.8,0.4543,0.4381,0.4336,0.4255,0.4159,0.4061,0.4016,0.3986,0.3943,0.392,0.41600000000000004,0.00040103399999999966,0.3717,0.3744,0.3833,0.3889,0.3932,0.3971,0.4032,0.4118,0.4161,0.4221,0.39618,0.00026641760000000006
400,0.0025,0.5,linear,relu,2,100,0.65,0.4513,0.4336,0.4376,0.4292,0.4189,0.4115,0.4058,0.4023,0.3966,0.3926,0.41794000000000003,0.00034033239999999986,0.3786,0.3729,0.3881,0.3931,0.3946,0.402,0.4079,0.4153,0.421,0.4267,0.40001999999999993,0.00028651360000000005
400,0.0025,0.5,linear,relu,2,100,0.8,0.4484,0.441,0.4238,0.4204,0.4183,0.412,0.4105,0.4038,0.3956,0.3912,0.4165,0.0002984040000000002,0.3697,0.383,0.3811,0.3847,0.3912,0.3985,0.4055,0.4094,0.4135,0.4186,0.39552,0.00023241960000000027
500,0.0025,0.5,linear,relu,1,100,0.65,0.4484,0.444,0.4494,0.4344,0.4224,0.4145,0.4075,0.4049,0.3995,0.3923,0.42173000000000005,0.00040321610000000044,0.3815,0.3879,0.406,0.4055,0.4063,0.4119,0.4164,0.4221,0.4283,0.4329,0.4098800000000001,0.00024007359999999984
500,0.0025,0.5,linear,relu,1,100,0.8,0.4661,0.4381,0.4385,0.4277,0.4159,0.4145,0.4083,0.3997,0.3963,0.3917,0.41968000000000005,0.0004811956000000003,0.3854,0.3845,0.3915,0.3931,0.3958,0.4045,0.4108,0.4166,0.4221,0.4285,0.40327999999999997,0.00021964359999999982
500,0.0025,0.5,linear,relu,2,100,0.65,0.4602,0.444,0.4405,0.4292,0.4183,0.411,0.4041,0.4001,0.3956,0.3864,0.41894,0.0005142723999999998,0.3854,0.3864,0.3973,0.3983,0.4007,0.4097,0.4121,0.4183,0.4241,0.4275,0.40598,0.0001963635999999998
500,0.0025,0.5,linear,relu,2,100,0.8,0.4484,0.4248,0.4258,0.4152,0.41,0.3982,0.3932,0.3934,0.3891,0.3855,0.40836000000000006,0.0003677484000000002,0.3638,0.368,0.3798,0.3821,0.3895,0.3912,0.3959,0.404,0.4109,0.4157,0.39009,0.0002666608999999999
600,0.0025,0.5,linear,relu,1,100,0.65,0.4513,0.444,0.4444,0.4344,0.4201,0.4159,0.4117,0.4078,0.3995,0.3923,0.42214,0.0003734704,0.3786,0.3899,0.4014,0.4052,0.4038,0.4109,0.4182,0.4242,0.4276,0.4319,0.4091699999999999,0.00025775810000000006
