epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4527,0.4246,0.408,0.3974,0.3872,0.3794,0.3718,0.3683,0.3608,0.3565,0.39067,0.0008399940999999994,0.3889,0.3872,0.3885,0.3931,0.3964,0.4006,0.4055,0.4126,0.4171,0.4232,0.40130999999999994,0.00014827290000000022
500,0.001,NDCG@10,0.4448,0.4285,0.4099,0.3957,0.3866,0.3802,0.3736,0.3672,0.362,0.3584,0.39069000000000004,0.0007587988999999996,0.3836,0.3895,0.3913,0.3932,0.3962,0.4019,0.4083,0.4137,0.4187,0.4246,0.4021,0.000168652
500,0.001,P@5,0.4517,0.428,0.4096,0.3955,0.3872,0.3777,0.3704,0.3681,0.3626,0.358,0.39088,0.0008455216000000001,0.3925,0.3906,0.3911,0.3944,0.3968,0.4004,0.4049,0.4121,0.4188,0.4242,0.40258000000000005,0.00013085160000000018
500,0.001,P@10,0.4438,0.4211,0.4106,0.395,0.3868,0.3795,0.3725,0.3681,0.363,0.3585,0.38988999999999996,0.0006938488999999998,0.3787,0.3837,0.3892,0.3907,0.3956,0.4007,0.4061,0.4129,0.4187,0.424,0.40003,0.00020716610000000014
500,0.001,ERR@10,0.4546,0.431,0.4122,0.3977,0.3878,0.3792,0.3712,0.3696,0.3649,0.3585,0.39266999999999996,0.0008848341000000004,0.3915,0.3923,0.3932,0.3943,0.3975,0.4015,0.4072,0.4149,0.4201,0.4249,0.40374,0.0001376763999999999
500,1e-05,NDCG@5,0.4122,0.3989,0.3843,0.3787,0.3679,0.3586,0.3526,0.3482,0.3434,0.3398,0.36845999999999995,0.0005404483999999999,0.3537,0.3603,0.364,0.3694,0.3713,0.3746,0.3801,0.3862,0.3913,0.3972,0.37481,0.0001745608999999998
500,1e-05,NDCG@10,0.4172,0.3846,0.3741,0.3656,0.3623,0.3573,0.3539,0.3499,0.3451,0.3423,0.36523,0.0004520741000000001,0.3613,0.3547,0.3577,0.3599,0.3651,0.3721,0.3781,0.3842,0.3894,0.3963,0.37188,0.00018914559999999987
500,1e-05,P@5,0.4172,0.4078,0.3948,0.3854,0.3787,0.3726,0.3631,0.3568,0.3536,0.3509,0.37809,0.00047924690000000005,0.3586,0.3683,0.3727,0.3769,0.3845,0.3908,0.3933,0.3984,0.4044,0.4116,0.38594999999999996,0.00025499850000000005
500,1e-05,P@10,0.4221,0.396,0.3892,0.3826,0.3765,0.3711,0.3648,0.3601,0.3557,0.351,0.37691,0.0004174328999999999,0.3642,0.3557,0.3625,0.3691,0.3748,0.3836,0.3894,0.3956,0.402,0.4065,0.38034,0.0002822003999999999
500,1e-05,ERR@10,0.4142,0.4029,0.3945,0.3886,0.3813,0.3733,0.3663,0.3598,0.3561,0.3496,0.37866,0.00040979839999999966,0.3603,0.3661,0.3723,0.3772,0.3825,0.3872,0.3916,0.3966,0.4021,0.4066,0.38425000000000004,0.00021319850000000012
1000,0.001,NDCG@5,0.4398,0.4162,0.4011,0.3876,0.3803,0.3749,0.3684,0.3661,0.3619,0.3571,0.38534,0.0006310184000000005,0.38,0.3803,0.3819,0.3848,0.389,0.3949,0.4,0.4089,0.4155,0.4203,0.39555999999999997,0.00020281639999999982
1000,0.001,NDCG@10,0.4576,0.431,0.4103,0.3979,0.3872,0.3821,0.3748,0.3712,0.3645,0.3602,0.39368,0.0008782856,0.3951,0.3946,0.3917,0.3954,0.3971,0.403,0.4083,0.4155,0.4204,0.4262,0.40473,0.00013486410000000004
1000,0.001,P@5,0.4467,0.427,0.4119,0.3962,0.387,0.3789,0.3711,0.3672,0.3619,0.3579,0.39058,0.0007927855999999997,0.3836,0.3907,0.3926,0.3937,0.3968,0.4013,0.406,0.4126,0.419,0.4253,0.40215999999999996,0.00016110240000000013
