epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4749,0.4513,0.4228,0.396,0.3894,0.3815,0.3729,0.3614,0.3586,0.3528,0.39615999999999996,0.0015250863999999996,0.4159,0.41,0.4094,0.4066,0.4114,0.4168,0.4171,0.4182,0.4264,0.4304,0.41622000000000003,5.108160000000005e-05
500,0.001,NDCG@10,0.4484,0.4469,0.4277,0.4041,0.3917,0.385,0.378,0.3628,0.3543,0.3475,0.39464,0.0012045444000000007,0.3815,0.4051,0.411,0.4089,0.4129,0.4183,0.4211,0.4203,0.4237,0.4275,0.41303,0.00015472009999999996
500,0.001,P@5,0.4631,0.4513,0.4248,0.4012,0.3858,0.3835,0.3729,0.3632,0.3553,0.3487,0.39498,0.0014170095999999997,0.3963,0.4142,0.4114,0.4097,0.41,0.4185,0.4189,0.4226,0.4274,0.4306,0.41595999999999994,8.89504e-05
500,0.001,P@10,0.4572,0.4558,0.4258,0.4004,0.3888,0.384,0.3751,0.3665,0.3612,0.3552,0.397,0.0012597459999999997,0.4002,0.412,0.411,0.4082,0.4104,0.4181,0.4193,0.4225,0.4287,0.4335,0.41639,9.06409000000001e-05
500,0.001,ERR@10,0.4661,0.444,0.4228,0.4004,0.3858,0.382,0.3704,0.3603,0.3576,0.3519,0.39413,0.0013569901000000007,0.4051,0.4004,0.4088,0.4079,0.4102,0.4179,0.4161,0.4189,0.426,0.4307,0.4142,8.089800000000012e-05
500,1e-05,NDCG@5,0.4336,0.4218,0.4022,0.385,0.3723,0.3633,0.3578,0.3532,0.3504,0.3422,0.37818,0.0008959175999999998,0.3727,0.3882,0.3936,0.3933,0.395,0.3984,0.4019,0.4087,0.4154,0.4186,0.39858,0.00016401960000000026
500,1e-05,NDCG@10,0.4366,0.4159,0.4051,0.3938,0.3735,0.3673,0.3582,0.3507,0.3455,0.3422,0.37888,0.0009456635999999998,0.3776,0.3798,0.386,0.3939,0.3926,0.3989,0.3989,0.4034,0.4085,0.4145,0.39541,0.00012835689999999973
500,1e-05,P@5,0.4248,0.4086,0.3923,0.3776,0.364,0.3618,0.354,0.3448,0.3409,0.3398,0.37085999999999997,0.0007793784000000003,0.3697,0.3697,0.3726,0.3744,0.3758,0.3832,0.3839,0.3872,0.393,0.4013,0.38108,0.00010042560000000008
500,1e-05,P@10,0.4661,0.4395,0.414,0.3997,0.3864,0.3791,0.3683,0.3614,0.3553,0.3528,0.39226,0.0012869024,0.409,0.4095,0.4065,0.409,0.409,0.4136,0.416,0.4198,0.4252,0.4314,0.4149,6.0940000000000226e-05
500,1e-05,ERR@10,0.4454,0.4292,0.4149,0.399,0.3752,0.3663,0.3565,0.3459,0.3379,0.3327,0.38029999999999997,0.0014211400000000009,0.3766,0.3854,0.3943,0.3964,0.3914,0.3964,0.3958,0.3978,0.4003,0.4052,0.39396000000000003,5.778839999999994e-05
