epochs,learning_rate,Opti method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4258,0.4189,0.4054,0.3948,0.3799,0.3714,0.3659,0.3583,0.3526,0.3458,0.38188,0.0007103775999999999,0.3661,0.3787,0.3842,0.3875,0.388,0.3929,0.3979,0.4028,0.4081,0.4125,0.39187,0.00017763410000000006
500,0.001,NDCG@10,0.4366,0.4258,0.4045,0.3921,0.3821,0.3727,0.3616,0.3559,0.3509,0.3454,0.38276,0.0008992724000000004,0.3736,0.389,0.3876,0.3895,0.3932,0.3964,0.398,0.4031,0.4098,0.4153,0.39554999999999996,0.00012868850000000005
500,0.001,P@5,0.4405,0.4277,0.4071,0.3906,0.3786,0.3728,0.3648,0.3582,0.3526,0.3491,0.38420000000000004,0.0009071559999999999,0.3769,0.3872,0.3876,0.3875,0.3898,0.3961,0.4006,0.4064,0.4121,0.418,0.39622000000000007,0.00014955559999999993
500,0.001,P@10,0.4415,0.4267,0.4054,0.3874,0.3797,0.3718,0.3611,0.3541,0.3518,0.3471,0.38266,0.0009565304000000001,0.3805,0.3886,0.3875,0.3871,0.3909,0.3955,0.3974,0.402,0.4109,0.4167,0.39570999999999995,0.0001160349
500,0.001,ERR@10,0.4366,0.4208,0.4071,0.3906,0.3805,0.3699,0.3624,0.3551,0.351,0.3463,0.38203,0.0008682480999999999,0.3743,0.3835,0.3866,0.3877,0.3907,0.3937,0.3969,0.4013,0.4085,0.4147,0.39379,0.0001303768999999999
500,1e-05,NDCG@5,0.414,0.4071,0.3986,0.3923,0.3813,0.3671,0.3586,0.3523,0.345,0.3406,0.37568999999999997,0.0006372609,0.3537,0.3686,0.3767,0.3845,0.3872,0.3887,0.3918,0.3971,0.4014,0.4076,0.38573,0.0002303361
500,1e-05,NDCG@10,0.4307,0.4105,0.3995,0.384,0.3738,0.3664,0.3582,0.3529,0.3493,0.3456,0.37709000000000004,0.0007371209,0.3658,0.3702,0.3757,0.3764,0.3807,0.3846,0.3888,0.394,0.4009,0.4078,0.38449,0.00016322689999999997
500,1e-05,P@5,0.4307,0.4145,0.3986,0.3889,0.3782,0.3674,0.3611,0.3558,0.3497,0.3447,0.37896,0.0007444124000000002,0.371,0.3774,0.378,0.3826,0.3885,0.3913,0.3949,0.4012,0.4071,0.4129,0.39049,0.00016863289999999995
500,1e-05,P@10,0.413,0.4066,0.3917,0.3776,0.366,0.3599,0.3565,0.3513,0.3432,0.3382,0.37039999999999995,0.0006095039999999998,0.3533,0.3681,0.3715,0.3724,0.3745,0.3799,0.3859,0.3926,0.3964,0.4018,0.37964,0.00019512439999999994
500,1e-05,ERR@10,0.4169,0.3918,0.3759,0.3641,0.3554,0.3496,0.3434,0.3381,0.3344,0.3294,0.3599,0.0006994579999999997,0.3599,0.3517,0.354,0.3569,0.3596,0.3652,0.3689,0.3741,0.3803,0.3854,0.36560000000000004,0.00011633800000000019
