epochs,learning_rate,Opti_method,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10,P_Mean,P_Var,NDCG@1,NDCG@2,NDCG@3,NDCG@4,NDCG@5,NDCG@6,NDCG@7,NDCG@8,NDCG@9,NDCG@10,NDCG_Mean,NDCG_Var
500,0.001,NDCG@5,0.4119,0.3917,0.356,0.3413,0.3261,0.31,0.2903,0.2749,0.2578,0.2431,0.32031,0.0028170988999999995,0.3524,0.3889,0.4049,0.4248,0.446,0.4594,0.4661,0.4401,0.2183,0.2229,0.38238000000000005,0.007592425600000001
500,0.001,NDCG@10,0.4161,0.3896,0.3602,0.3434,0.3261,0.3132,0.2906,0.2763,0.2576,0.2433,0.32164000000000004,0.0028850224000000007,0.3539,0.3873,0.4067,0.4264,0.4447,0.4622,0.4654,0.4412,0.216,0.2212,0.3825,0.007763281999999999
500,0.001,P@5,0.4161,0.3885,0.3602,0.3408,0.3227,0.3132,0.2894,0.2739,0.2564,0.2433,0.32045,0.002901706500000001,0.3567,0.3859,0.4029,0.4229,0.4404,0.4612,0.465,0.4408,0.2169,0.2225,0.38151999999999997,0.0075490516
500,0.001,P@10,0.414,0.3854,0.3602,0.3445,0.3231,0.3103,0.2909,0.2731,0.2569,0.2425,0.32009000000000004,0.0028467348999999995,0.3489,0.382,0.4048,0.4266,0.4436,0.4598,0.4656,0.438,0.2161,0.2204,0.38058000000000003,0.0077194176
500,0.001,ERR@10,0.4204,0.3938,0.3659,0.3424,0.3244,0.3079,0.2897,0.2736,0.2586,0.2437,0.32204,0.0030922023999999998,0.3595,0.3903,0.4102,0.4279,0.4446,0.4592,0.4666,0.4394,0.2163,0.2204,0.38344000000000006,0.0077358024
500,1e-05,NDCG@5,0.4119,0.3769,0.3517,0.3365,0.3202,0.3043,0.2863,0.2702,0.2536,0.2408,0.31524,0.0027277644000000003,0.3567,0.3723,0.3936,0.4155,0.4348,0.4495,0.4576,0.4324,0.2117,0.217,0.37411000000000005,0.007319516900000001
500,1e-05,NDCG@10,0.3928,0.3684,0.3482,0.3323,0.3197,0.3057,0.2827,0.2699,0.2538,0.2397,0.31132,0.0022771916,0.3305,0.3645,0.3901,0.4105,0.4311,0.4473,0.4505,0.4284,0.2086,0.2132,0.36747,0.0073806261
500,1e-05,P@5,0.3737,0.3599,0.3425,0.3217,0.3053,0.2951,0.2778,0.2614,0.246,0.2344,0.30178000000000005,0.0020519416,0.3241,0.3574,0.3812,0.398,0.4144,0.4322,0.4412,0.4158,0.2009,0.2077,0.35729,0.006950294899999999
500,1e-05,P@10,0.4183,0.3938,0.3623,0.345,0.3321,0.3135,0.296,0.2784,0.2604,0.2446,0.32444,0.0029059023999999994,0.3531,0.3877,0.4081,0.4273,0.4511,0.4647,0.4695,0.4413,0.2175,0.2213,0.38415999999999995,0.007922592400000001
500,1e-05,ERR@10,0.397,0.3747,0.3567,0.3333,0.3189,0.3036,0.2869,0.2694,0.2543,0.2403,0.31351000000000007,0.0024618389,0.3418,0.374,0.3994,0.4137,0.4355,0.4499,0.4582,0.43,0.2085,0.2141,0.37251,0.0075962849
1000,0.001,NDCG@5,0.4119,0.3822,0.3531,0.3402,0.3248,0.3089,0.2872,0.2747,0.2576,0.2444,0.3185,0.002667889999999999,0.3524,0.3767,0.3997,0.4199,0.44,0.4546,0.4595,0.4372,0.2149,0.2215,0.37764,0.007383456399999999
1000,0.001,NDCG@10,0.4161,0.3854,0.3595,0.3429,0.327,0.3132,0.2939,0.2765,0.2593,0.2439,0.32177,0.002771010100000001,0.3567,0.3832,0.405,0.4253,0.4457,0.4626,0.4696,0.4425,0.2186,0.2236,0.38327999999999995,0.007670721600000002
1000,0.001,P@5,0.4183,0.3938,0.3631,0.3429,0.3295,0.3125,0.2942,0.2781,0.2607,0.245,0.32381000000000004,0.0029055428999999995,0.3588,0.3977,0.4132,0.431,0.4509,0.466,0.4719,0.4461,0.2217,0.2259,0.38832000000000005,0.007781707600000002
1000,0.001,P@10,0.4076,0.3811,0.3546,0.3333,0.3176,0.3018,0.2878,0.2728,0.255,0.2408,0.31524,0.002665376400000001,0.3524,0.3822,0.3983,0.4155,0.4351,0.4495,0.4597,0.4335,0.2115,0.2161,0.37538,0.0074484356
1000,0.001,ERR@10,0.3992,0.3917,0.3645,0.3461,0.3261,0.3125,0.2909,0.2755,0.2588,0.2431,0.32084,0.0026647504,0.3425,0.3873,0.4099,0.4284,0.4443,0.463,0.4685,0.444,0.2198,0.2237,0.38314000000000004,0.0077642983999999995
1000,1e-05,NDCG@5,0.4268,0.3875,0.3588,0.3386,0.3206,0.31,0.2897,0.2739,0.2562,0.2427,0.32048,0.0031000976000000015,0.3602,0.3871,0.4057,0.4224,0.4398,0.4609,0.4663,0.4392,0.2167,0.2226,0.38209,0.007537184899999999
1000,1e-05,NDCG@10,0.4034,0.3822,0.3546,0.3418,0.321,0.3079,0.2884,0.2734,0.2569,0.2412,0.31708,0.0025920115999999993,0.3454,0.3808,0.4011,0.4244,0.4389,0.4564,0.4609,0.4387,0.2152,0.2188,0.37805999999999995,0.007601788399999999
1000,1e-05,P@5,0.3885,0.3758,0.3567,0.3381,0.3206,0.3064,0.2875,0.2736,0.2564,0.2446,0.31482,0.0022336715999999998,0.339,0.3746,0.4014,0.4203,0.4359,0.454,0.4585,0.4336,0.2123,0.2183,0.37479,0.007542696900000001
1000,1e-05,P@10,0.4076,0.3885,0.3553,0.3392,0.3248,0.3107,0.2906,0.2742,0.2557,0.2416,0.31882,0.0027319396000000007,0.3482,0.3854,0.4006,0.4224,0.4433,0.4602,0.4655,0.4394,0.2157,0.2214,0.38021000000000005,0.0076688069
1000,1e-05,ERR@10,0.4098,0.3843,0.3609,0.3413,0.3274,0.3128,0.293,0.2742,0.2564,0.2429,0.32030000000000003,0.0027246739999999994,0.3489,0.3818,0.4055,0.4251,0.4437,0.4619,0.4685,0.4396,0.2164,0.2222,0.38136000000000003,0.0077451724
1500,0.001,NDCG@5,0.4098,0.3875,0.3595,0.3418,0.3236,0.3089,0.2897,0.2742,0.2574,0.2427,0.31951000000000007,0.0027699329,0.3475,0.3866,0.4059,0.4246,0.4428,0.4592,0.4644,0.4388,0.2164,0.2213,0.38075000000000003,0.0076502085
1500,0.001,NDCG@10,0.3949,0.3811,0.3567,0.3301,0.3189,0.31,0.2945,0.2771,0.2586,0.2442,0.31661,0.0022784668999999997,0.3397,0.3749,0.3944,0.4125,0.4339,0.4557,0.4629,0.436,0.2168,0.2213,0.37481,0.0073108389
1500,0.001,P@5,0.3992,0.38,0.3553,0.3381,0.3236,0.3079,0.2891,0.2712,0.256,0.2427,0.31631,0.0024877089,0.3411,0.3767,0.4001,0.4188,0.4381,0.4542,0.4593,0.4326,0.2121,0.2174,0.37504,0.007575320399999999
1500,0.001,P@10,0.3992,0.379,0.3517,0.3328,0.3172,0.3068,0.2881,0.2723,0.255,0.241,0.31431,0.0024539589,0.3397,0.3753,0.3961,0.4152,0.4339,0.453,0.4581,0.4323,0.2112,0.2159,0.37307,0.0075155541
1500,0.001,ERR@10,0.4183,0.3864,0.3602,0.3402,0.3244,0.31,0.2933,0.2757,0.259,0.2439,0.32114,0.0028389884000000003,0.3588,0.3871,0.4061,0.4246,0.4453,0.4602,0.4676,0.4412,0.2192,0.2241,0.38342,0.007533003599999999
1500,1e-05,NDCG@5,0.4183,0.3843,0.3574,0.345,0.3257,0.3114,0.293,0.2755,0.2593,0.2437,0.32136,0.0028124523999999997,0.3517,0.38,0.402,0.4258,0.4421,0.4579,0.4643,0.4364,0.2144,0.2185,0.37931,0.0077095649
1500,1e-05,NDCG@10,0.4161,0.3928,0.3623,0.3466,0.3278,0.3135,0.2927,0.2742,0.2571,0.2431,0.32262,0.0029779296000000005,0.3652,0.3884,0.4082,0.4301,0.4469,0.464,0.4687,0.442,0.2188,0.225,0.38573,0.007652026100000001
1500,1e-05,P@5,0.397,0.3747,0.3531,0.3386,0.3236,0.311,0.2903,0.2747,0.2586,0.2429,0.31645,0.0022979145,0.339,0.3696,0.3929,0.4159,0.437,0.4531,0.46,0.4346,0.2155,0.2196,0.37371999999999994,0.0073612176
1500,1e-05,P@10,0.3864,0.3769,0.3524,0.3355,0.3223,0.3096,0.2921,0.2755,0.2586,0.2427,0.31520000000000004,0.0021323540000000004,0.3355,0.37,0.387,0.411,0.4311,0.4515,0.4576,0.4327,0.2164,0.2203,0.37131,0.0071126648999999985
1500,1e-05,ERR@10,0.4268,0.3907,0.3623,0.3461,0.3244,0.3107,0.2924,0.2763,0.2588,0.2431,0.32316,0.003121172400000001,0.3645,0.3871,0.407,0.4282,0.4439,0.4604,0.4676,0.4426,0.2177,0.2213,0.38403,0.007684736100000001
2000,0.001,NDCG@5,0.414,0.397,0.3623,0.3445,0.3287,0.3146,0.2927,0.2763,0.2588,0.2431,0.3232,0.0029471020000000005,0.3602,0.3958,0.4105,0.429,0.45,0.4666,0.471,0.4452,0.2191,0.223,0.38704,0.0078946724
2000,0.001,NDCG@10,0.4183,0.3864,0.3567,0.3439,0.3248,0.311,0.2903,0.2757,0.2578,0.2429,0.32078,0.0028745736000000003,0.3588,0.3827,0.4008,0.423,0.4413,0.4593,0.464,0.4397,0.2159,0.22,0.38055000000000005,0.007593042499999999
2000,0.001,P@5,0.4246,0.3907,0.3631,0.3429,0.3265,0.3114,0.2918,0.2757,0.2578,0.2427,0.32272,0.003096575599999999,0.3652,0.3873,0.4071,0.4277,0.4464,0.4623,0.468,0.4408,0.2167,0.2213,0.38427999999999995,0.007757431600000001
2000,0.001,P@10,0.4098,0.3864,0.3588,0.3434,0.3257,0.3121,0.2915,0.276,0.2576,0.2427,0.32039999999999996,0.00272366,0.3461,0.3792,0.4001,0.4235,0.4408,0.4577,0.4644,0.4385,0.2169,0.2213,0.37885,0.007549972499999999
2000,0.001,ERR@10,0.414,0.3854,0.3588,0.3424,0.3248,0.3142,0.2936,0.2763,0.259,0.2439,0.32124,0.002728052399999999,0.3517,0.3795,0.4007,0.4211,0.4422,0.4617,0.4662,0.4404,0.2184,0.223,0.38049,0.0075302329
2000,1e-05,NDCG@5,0.4119,0.3875,0.3539,0.3429,0.3312,0.3149,0.2936,0.2768,0.2614,0.2452,0.32193,0.0026381880999999992,0.3496,0.3802,0.3995,0.4239,0.4468,0.461,0.4633,0.4372,0.2178,0.2222,0.38015,0.007567508499999999
2000,1e-05,NDCG@10,0.4183,0.3938,0.3631,0.3397,0.3278,0.3139,0.2939,0.2757,0.2578,0.2412,0.32252000000000003,0.0030111556,0.3489,0.3873,0.4045,0.4257,0.4465,0.4617,0.4682,0.4388,0.216,0.2194,0.3817,0.007870252
2000,1e-05,P@5,0.4119,0.3885,0.3616,0.3439,0.3248,0.3132,0.2894,0.2744,0.2574,0.2427,0.32078,0.0028412596,0.3553,0.3832,0.4052,0.424,0.4418,0.4599,0.464,0.4386,0.2168,0.2213,0.38100999999999996,0.0075694309
2000,1e-05,P@10,0.4183,0.3885,0.3623,0.3445,0.3244,0.3103,0.2881,0.2739,0.256,0.2418,0.32081000000000004,0.0030205629000000004,0.3616,0.3884,0.4074,0.4277,0.4432,0.4609,0.4647,0.4414,0.218,0.2228,0.38360999999999995,0.0075743788999999995
2000,1e-05,ERR@10,0.4098,0.3811,0.3645,0.3439,0.3278,0.3093,0.2897,0.2728,0.2555,0.2427,0.31971000000000005,0.0027804668999999995,0.3447,0.3781,0.4024,0.4255,0.4437,0.4566,0.4612,0.4345,0.215,0.2204,0.37821,0.007597576899999998
